-97, 23, -31, -25, 21, -20, 24, 23, 25, 11, 6, 40
-98, 23, -28, -36, 26, -33, -3, 26, 33, 13, -34, 4
-97, 27, -18, -32, 34, -39, -13, 57, 59, 11, -29, 11
-101, 26, -15, -16, 45, -9, -8, 42, 81, 2, -52, 16
-103, 12, -8, 7, 27, -9, 22, 24, 56, 1, -45, 3
-104, 12, -15, -11, 7, -32, 37, 29, 29, 12, -8, 58
-105, 13, -14, -9, 5, -57, 8, 44, -3, -14, -30, 48
-108, 15, -18, -3, 17, -47, -7, 49, 13, 33, -8, 68
-109, 11, -23, -31, 16, -25, 8, 43, 32, 55, 23, 59
-104, 12, -10, -28, 13, -15, 29, 35, 30, 39, 24, -10
-107, 8, -9, -13, 19, -14, 37, 46, 52, 39, -5, 22
-103, 21, 1, -7, 6, 13, 32, 42, 28, 13, -1, 29
-95, 24, -10, -32, -7, -3, 3, 51, 15, 26, 19, 6
-108, 12, -26, -36, -15, -31, 8, 71, 19, -2, 14, 21
-108, 3, -13, 8, -8, -40, 12, 51, -1, 15, 7, 21
-90, 0, 2, -3, 7, -32, 31, 54, 18, -19, -26, 27
-95, -1, 2, -1, 23, 4, 52, 36, 17, -26, -17, 39
-103, 14, -2, 14, 30, -4, 26, 16, -8, -30, -6, 8
-95, -10, 41, 8, 14, -20, -8, 46, 12, 4, 33, 10
-64, 5, 87, 5, -26, -53, -62, 0, -41, -26, 20, -35
-42, 23, 99, 26, -46, -31, -45, 9, -38, -25, -1, -33
-8, -8, 111, -2, -30, -1, -46, -52, 9, -1, 6, -48
30, -36, 114, 1, -63, 0, -45, -75, -9, 19, 30, -48
48, -60, 104, 5, -90, 13, -36, -44, -14, 11, 35, -24
52, -60, 98, 3, -95, -3, -53, -71, 2, 30, 19, -43
57, -60, 93, 14, -90, 1, -51, -76, 22, 41, 18, -41
61, -62, 89, 15, -95, -6, -49, -90, 24, 45, 10, -39
60, -59, 83, 32, -96, -14, -22, -87, 17, 55, 28, -31
53, -53, 75, 43, -87, -27, -19, -104, 19, 73, 29, -42
45, -42, 65, 48, -88, -13, -3, -105, 5, 79, 32, -55
37, -31, 52, 62, -77, -28, -9, -75, -8, 78, 45, -33
29, -16, 43, 55, -74, -32, -1, -56, -11, 78, 15, -50
18, -6, 36, 48, -65, -42, 4, -39, -25, 56, 25, -71
9, 6, 36, 53, -52, -43, 10, -18, -24, 60, 50, -86
-4, 17, 42, 53, -58, -43, 32, -6, -22, 46, 59, -87
-16, 13, 42, 41, -55, -60, 28, -18, -26, 28, 60, -109
-25, 12, 41, 46, -30, -61, 14, -9, -6, 51, 30, -101
-36, 20, 43, 40, -15, -51, 34, 4, -5, 45, 19, -84
-36, 27, 38, 33, -3, -78, 56, 3, 3, 26, 3, -80
-41, 26, 47, 42, 1, -95, 47, 22, 22, 20, 1, -94
-48, 19, 34, 41, -2, -69, 51, 53, 6, 5, -40, -111
-54, 29, 36, 44, 10, -54, 47, 36, -32, 9, -30, -77
-59, 41, 38, 35, 4, -54, 37, 12, -49, 19, -2, -89
-63, 59, 36, 38, -18, -66, 40, 27, -51, 0, 9, -72
-68, 57, 41, 33, -35, -67, 36, 69, -23, 6, -4, -103
-67, 50, 43, 47, -27, -66, 33, 36, 0, 21, 8, -88
-69, 39, 40, 33, -15, -42, 48, 42, -5, 36, 9, -104
-52, 25, 45, 38, 0, -63, 23, 13, -34, 76, 31, -74
-13, 11, 2, 35, -23, -58, 10, 14, -52, 57, 15, -93
38, -6, -11, 19, -54, -67, 24, 42, -45, 79, 17, -97
74, -21, -19, 3, -71, -78, 32, 58, -45, 83, 11, -117
89, -34, -27, -11, -77, -73, 46, 66, -36, 72, -10, -121
99, -49, -35, -11, -62, -59, 63, 65, -38, 52, -9, -109
102, -55, -47, -18, -50, -36, 81, 60, -41, 18, -18, -107
106, -57, -49, -21, -48, -35, 82, 49, -51, 3, -17, -107
105, -56, -50, -20, -47, -41, 81, 54, -47, 13, -10, -93
103, -62, -52, -29, -57, -54, 70, 50, -59, 8, -23, -106
101, -53, -46, -22, -53, -58, 66, 56, -59, 24, -21, -113
101, -42, -36, -13, -46, -71, 50, 62, -51, 39, -7, -119
92, -32, -28, -3, -43, -88, 29, 62, -43, 61, 23, -110
66, -18, -22, 9, -45, -101, 10, 54, -51, 52, 35, -128
12, 10, -2, 33, -19, -89, 0, 64, -48, 32, 41, -108
-45, 65, 18, 31, -16, -60, 40, 86, -48, -6, -23, -92
-59, 63, 21, 13, -28, -31, 46, 71, -26, -20, -67, -86
-64, 74, 31, 26, -42, -38, 49, 46, -15, -12, -47, -65
-62, 88, 34, 30, -29, -41, 50, 22, -1, 0, -4, -69
-65, 78, 32, 44, -8, -25, 39, 20, -10, -17, -20, -59
-69, 93, 37, 48, -27, -50, 19, 39, 1, 20, -27, -59
-72, 99, 46, 37, -35, -21, -2, -22, 36, 44, -5, -44
-73, 84, 41, 31, -13, -13, 2, -9, -4, 55, -29, -63
-69, 77, 32, 38, 37, 5, 25, 6, -20, 53, -48, -39
-64, 63, 43, 39, 25, -6, 28, -3, 9, 19, -59, -15
-60, 54, 52, 25, 7, -18, 38, 19, 9, 9, -41, -35
-39, 43, 35, 35, 8, -44, 27, -3, -8, 45, 6, -69
-7, 23, 26, 45, -14, -58, -5, 13, -46, 47, 89, -75
